country,1999_pop,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,2020_pop,2021_pop,2022_pop,2023_pop,2024_pop,2025_pop,2026_pop,2027_pop,2028_pop,2029_pop,2030_pop,1999_le,2000_le,2001_le,2002_le,2003_le,2004_le,2005_le,2006_le,2007_le,2008_le,2009_le,2010_le,2011_le,2012_le,2013_le,2014_le,2015_le,2016_le,2017_le,2018_le,2019_le,2020_le,2021_le,2022_le,2023_le,2024_le,2025_le,2026_le,2027_le,2028_le,2029_le,2030_le,Code,Year,death_rate
Afghanistan,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,39000000.0,40100000.0,41100000.0,42200000.0,43400000.0,44500000.0,45700000.0,46800000.0,48000000.0,49200000.0,50300000.0,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,63.4,64.0,64.3,64.6,64.9,65.2,65.4,65.7,66.0,66.2,66.4,AFG,2005,44.07
Angola,15900000.0,16399999.999999998,16900000.0,17500000.0,18100000.0,18800000.0,19500000.0,20200000.0,20900000.0,21700000.0,22500000.0,23400000.0,24300000.0,25200000.0,26100000.0,27100000.0,28100000.0,29200000.0,30200000.0,31300000.0,32400000.0,33400000.0,34500000.0,35600000.0,36700000.0,37800000.0,38900000.0,40100000.0,41300000.0,42500000.0,43700000.0,44900000.0,51.9,52.8,53.4,54.5,55.1,55.5,56.4,57.0,58.0,58.8,59.5,60.2,60.8,61.4,62.1,63.0,63.5,63.9,64.2,64.6,65.1,65.2,65.8,66.1,66.4,66.8,67.1,67.4,67.7,68.0,68.3,68.6,AGO,2005,161.75
Albania,3210000.0,3180000.0,3150000.0,3120000.0,3090000.0,3060000.0,3030000.0,3000000.0,2980000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2890000.0,2880000.0,2880000.0,2880000.0,2880000.0,2880000.0,2870000.0,2870000.0,2850000.0,2840000.0,2830000.0,2830000.0,2820000.0,2820000.0,2810000.0,2800000.0,2800000.0,2790000.0,75.1,75.4,76.0,75.9,75.6,75.8,76.2,76.9,77.5,77.6,78.0,78.1,78.1,78.2,78.3,78.2,78.1,78.2,78.3,78.4,78.5,77.9,78.7,78.8,79.0,79.1,79.2,79.4,79.5,79.7,79.8,80.0,ALB,2005,0.54
United Arab Emirates,3100000.0,3280000.0,3450000.0,3630000.0,3810000.0,3990000.0,4280000.0,4900000.0,5870000.0,6990000.0,7990000.0,8480000.0,8580000.0,8660000.0,8750000.0,8840000.0,8920000.0,8990000.0,9070000.0,9140000.0,9210000.0,9290000.0,9370000.0,9440000.0,9520000.0,9590000.0,9670000.0,9740000.0,9810000.0,9870000.0,9940000.0,10000000.0,69.2,69.1,69.2,69.4,69.3,69.1,69.2,69.5,70.0,70.4,70.6,70.8,71.0,71.2,71.6,73.0,73.2,73.4,73.5,73.7,73.9,74.0,74.2,74.3,74.4,74.6,74.7,74.8,75.0,75.1,75.2,75.4,ARE,2005,4.76
Argentina,36700000.0,37100000.0,37500000.0,37900000.0,38300000.0,38700000.0,39100000.0,39500000.0,39900000.0,40300000.0,40700000.0,41100000.0,41500000.0,42000000.0,42400000.0,42800000.0,43300000.0,43700000.0,44100000.0,44400000.0,44700000.0,45000000.0,45300000.0,45500000.0,45800000.0,46100000.0,46300000.0,46600000.0,46900000.0,47200000.0,47400000.0,47700000.0,73.8,74.2,74.3,74.3,74.4,74.9,75.3,75.4,75.3,75.7,75.8,75.9,76.0,76.2,76.3,76.5,76.5,76.2,76.3,76.5,76.6,74.6,76.9,77.0,77.2,77.3,77.5,77.6,77.8,77.9,78.0,78.2,ARG,2005,2.12
Armenia,3210000.0,3170000.0,3130000.0,3110000.0,3080000.0,3070000.0,3050000.0,3030000.0,3000000.0,2980000.0,2960000.0,2950000.0,2930000.0,2910000.0,2900000.0,2890000.0,2880000.0,2870000.0,2850000.0,2840000.0,2820000.0,2810000.0,2790000.0,2780000.0,2780000.0,2780000.0,2780000.0,2780000.0,2770000.0,2770000.0,2760000.0,2760000.0,71.9,72.4,72.5,72.7,72.8,73.0,73.0,73.1,73.5,73.5,73.6,73.9,74.2,74.6,75.1,75.2,75.1,75.3,75.5,75.6,75.7,74.0,76.0,76.1,76.3,76.4,76.5,76.7,76.8,77.0,77.1,77.2,ARM,2005,4.52
Antigua and Barbuda,73800.0,75100.0,76200.0,77200.0,78100.0,78900.0,79900.0,80900.0,82000.0,83300.0,84500.0,85700.0,86700.0,87700.0,88500.0,89200.0,89900.0,90600.0,91100.0,91600.0,92100.0,92700.0,93200.0,93800.0,94300.0,94800.0,95300.0,95800.0,96300.0,96700.0,97100.0,97500.0,74.7,74.8,75.1,75.4,75.6,75.7,75.9,75.9,75.1,75.2,75.8,75.9,76.0,76.0,76.1,76.0,76.0,76.0,76.1,76.2,76.3,76.3,76.5,76.7,76.8,76.9,77.1,77.2,77.3,77.4,77.6,77.7,ATG,2005,0.6
Australia,18800000.0,19000000.0,19200000.0,19500000.0,19700000.0,19900000.0,20200000.0,20500000.0,20800000.0,21200000.0,21700000.0,22000000.0,22400000.0,22700000.0,23100000.0,23500000.0,23800000.0,24200000.0,24600000.0,25000000.0,25400000.0,25700000.0,25900000.0,26200000.0,26400000.0,26700000.0,27000000.0,27200000.0,27500000.0,27700000.0,28000000.0,28200000.0,79.4,79.7,80.1,80.3,80.6,80.9,81.2,81.5,81.5,81.7,81.9,82.1,82.3,82.6,82.7,82.7,82.7,83.0,83.0,82.9,82.9,82.9,83.2,83.3,83.5,83.6,83.7,83.8,84.0,84.1,84.2,84.3,AUS,2005,0.24
Austria,7990000.0,8010000.0,8039999.999999999,8080000.0,8119999.999999999,8170000.0,8230000.0,8270000.0,8289999.999999999,8320000.0,8340000.0,8359999.999999999,8390000.0,8430000.0,8480000.0,8550000.0,8640000.0,8740000.0,8800000.0,8840000.0,8880000.0,8910000.0,8920000.0,8940000.0,8960000.0,8980000.0,8990000.0,9010000.0,9020000.0,9040000.0,9050000.0,9050000.0,78.2,78.5,78.9,79.0,79.1,79.5,79.8,80.1,80.3,80.5,80.5,80.8,81.0,81.2,81.3,81.5,81.6,81.8,82.0,82.1,82.2,81.5,82.4,82.6,82.8,82.9,83.1,83.2,83.4,83.6,83.7,83.9,AUT,2005,0.4
Azerbaijan,8100000.0,8189999.999999999,8279999.999999999,8369999.999999999,8460000.0,8560000.0,8660000.0,8760000.0,8880000.0,9000000.0,9120000.0,9240000.0,9360000.0,9490000.0,9610000.0,9740000.0,9860000.0,9980000.0,10100000.0,10200000.0,10200000.0,10300000.0,10300000.0,10400000.0,10400000.0,10500000.0,10500000.0,10600000.0,10600000.0,10600000.0,10700000.0,10700000.0,66.2,66.5,67.1,67.2,67.1,67.2,67.3,67.7,68.2,68.5,68.8,69.0,69.2,69.5,69.7,69.9,70.2,70.3,70.4,70.8,71.0,70.4,71.2,71.3,71.4,71.5,71.6,71.7,71.8,71.9,72.0,72.1,AZE,2005,14.65
