country,1990_pop,1991_pop,1992_pop,1993_pop,1994_pop,1995_pop,1996_pop,1997_pop,1998_pop,1999_pop,2000_pop,2001_pop,2002_pop,2003_pop,2004_pop,2005_pop,2006_pop,2007_pop,2008_pop,2009_pop,2010_pop,2011_pop,2012_pop,2013_pop,2014_pop,2015_pop,2016_pop,2017_pop,2018_pop,2019_pop,1990_le,1991_le,1992_le,1993_le,1994_le,1995_le,1996_le,1997_le,1998_le,1999_le,2000_le,2001_le,2002_le,2003_le,2004_le,2005_le,2006_le,2007_le,2008_le,2009_le,2010_le,2011_le,2012_le,2013_le,2014_le,2015_le,2016_le,2017_le,2018_le,2019_le,Code,Year,death_rate
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1990,58.33
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1991,56.61
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1992,54.88
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1993,54.32
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1994,54.58
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1995,54.74
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1996,55.12
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1997,54.93
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1998,54.41
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,1999,54.18
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2000,54.05
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2001,53.61
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2002,50.41
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2003,48.24
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2004,46.39
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2005,44.07
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2006,42.1
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2007,39.98
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2008,37.91
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2009,35.71
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2010,33.61
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2011,31.64
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2012,29.89
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2013,28.44
Afghanistan,10700000.0,10700000.0,12100000.0,14000000.0,15500000.0,16399999.999999998,17100000.0,17800000.0,18500000.0,19300000.0,19500000.0,19700000.0,21000000.0,22600000.0,23600000.0,24400000.0,25400000.0,25900000.0,26400000.0,27400000.0,28200000.0,29200000.0,30500000.0,31500000.0,32700000.000000004,33800000.0,34600000.0,35600000.0,36700000.0,37800000.0,53.8,53.8,54.2,54.4,53.9,54.3,54.7,54.5,53.3,54.7,54.7,54.8,55.5,56.5,57.1,57.6,58.0,58.5,59.2,59.9,60.5,61.0,61.4,61.9,61.9,61.9,62.0,62.9,62.7,63.3,AFG,2014,27.26
